Enrollment_ID,Name,Department,Email,Attendance,Mock_Status,Mock_Score,CGPA,Internships,Projects,Aptitude_Score,Communication_Score,Placed
70000093,Amit Kumar,IT,amit.kumar@gmail.com,42,Absent,,7.2,4,4,20.54,83.31,Not Placed
70001863,Arjun Singh,CSIT,,47,Absent,,6.98,2,1,25.33,52.95,Not Placed
70001088,Amit Gupta,DS,,87,Absent,,,4,6,66.76,22.2,Placed
70000292,Neha Patel,DS,neha_patel@outlook.com,52,Absent,,8.75,1,,70.98,,Placed
70000752,Pooja Singh,AIML,,95,Present,93.1,9.52,1,2,33.47,90.01,Placed
70001865,Pooja Verma,DS,,,Present,59.89,8.07,1,3,72.86,,Not Placed
70000312,Sneha Singh,IT,sneha.singh@gmail.com,75,Present,39.82,8.97,2,4,67.56,43.59,Placed
70001391,Rahul Jain,AIML,,82,Absent,,7.76,,6,42.83,,Not Placed
70000318,Vikram Yadav,CSE,vikram.yadav@gmail.com,,Absent,,8.35,4,,84.49,55.87,Not Placed
70000329,Neha Verma,DS,,,Absent,,6.52,3,2,,96.25,Not Placed
70001222,Amit Verma,DS,amit_verma@outlook.com,85,Present,33.56,7.64,2,6,23.61,79.79,Placed
70001348,Anjali Sharma,CSE,anjali.sharma@gmail.com,,Present,31.62,9.04,1,6,29.98,77.02,Placed
70001034,Karan Gupta,CSE,karan.gupta@gmail.com,83,Absent,,6.65,,,32.28,71.76,Placed
70000490,Amit Mehta,CSIT,amit_mehta@outlook.com,93,Absent,,5.3,1,6,91.85,62.3,Not Placed
70001637,Rahul Yadav,CSIT,rahul.yadav@gmail.com,92,Absent,,5.01,2,6,41.75,53.37,Not Placed
70001724,Neha Verma,DS,neha.verma@gmail.com,79,Absent,,9.79,,1,54.7,55.32,Not Placed
70000974,Pooja Das,IT,pooja.das@gmail.com,81,Present,55.44,,1,2,39.55,34.68,Placed
70000709,Anjali Mehta,CSIT,,42,Present,60.09,7.36,1,3,91.08,,Not Placed
70000851,Sneha Yadav,IT,sneha.yadav@gmail.com,95,Present,53.41,5.92,4,5,31.26,50.05,Placed
70000380,Sneha Mehta,DS,sneha.mehta@gmail.com,88,Present,66.28,5.79,4,,74.35,86.89,Placed
70001272,Riya Das,CSE,riya_das@outlook.com,94,Present,56.2,8.11,1,3,81.97,,Not Placed
70000302,Neha Mehta,CSIT,neha.mehta@gmail.com,41,Absent,,7.38,0,,,,Not Placed
70001324,Sneha Patel,CSIT,sneha.patel@gmail.com,52,Present,42.81,5.46,0,,52.99,,Placed
70000339,Amit Patel,CSE,amit.patel@gmail.com,,Absent,,,1,6,,28.94,Placed
70001172,Anjali Das,AIML,anjali_das@outlook.com,73,Absent,,8.11,1,,84.45,74.89,Placed
70001924,Neha Verma,AIML,neha_verma@outlook.com,,Absent,,6.61,0,6,39.24,48.49,Placed
70000799,Arjun Jain,IT,,89,Present,82.94,5.69,2,6,71.72,22.11,Not Placed
70000457,Karan Patel,CSE,karan.patel@gmail.com,58,Absent,,7.51,4,5,58.86,,Placed
70001657,Pooja Sharma,CSIT,pooja_sharma@outlook.com,60,Present,74.44,7.92,4,,45.63,59.62,Not Placed
70000578,Arjun Mehta,IT,,80,Present,65.5,6.92,1,2,46.34,,Placed
70000680,Riya Kumar,IT,riya.kumar@gmail.com,76,Present,90.86,,0,2,,,Not Placed
70000439,Pooja Sharma,CSE,pooja.sharma@gmail.com,64,Present,40.67,6.01,4,,,32.52,Not Placed
70001461,Sneha Das,DS,sneha.das@gmail.com,44,Absent,,5.77,2,6,88.64,,Not Placed
70000612,Sneha Yadav,CSE,sneha_yadav@outlook.com,74,Absent,,7.94,3,,61.85,44.68,Placed
70000803,Karan Jain,AIML,,,Absent,,5.25,3,,39.71,68.04,Placed
70001499,Pooja Yadav,IT,pooja.yadav@gmail.com,81,Absent,,6.49,2,2,,47.99,Placed
70001553,Amit Yadav,AIML,,43,Present,48.34,9.8,3,1,28.08,30.99,Placed
70000293,Pooja Mehta,AIML,,96,Absent,,,2,4,52.2,39.86,Not Placed
70000704,Arjun Sharma,IT,arjun_sharma@outlook.com,61,Absent,,9.42,2,,36.4,44.6,Not Placed
70000143,Neha Mehta,DS,,45,Absent,,6.5,,1,50.21,62.47,Placed
70001796,Pooja Patel,DS,,64,Present,54.5,,,1,,36.65,Not Placed
70000030,Amit Verma,AIML,,99,Absent,,9.17,0,3,98.91,68.44,Placed
70000110,Sneha Jain,CSIT,sneha.jain@gmail.com,76,Present,77.77,7.06,4,6,77.94,,Not Placed
70000954,Rahul Singh,AIML,rahul.singh@gmail.com,48,Absent,,8.28,1,2,36.05,81.73,Not Placed
70000690,Amit Kumar,DS,amit.kumar@gmail.com,52,Present,78.52,6.47,,3,83.57,34.84,Placed
70000195,Amit Mehta,AIML,,,Absent,,7.36,,4,66.89,,Placed
70000606,Riya Kumar,IT,riya.kumar@gmail.com,,Absent,,8.74,1,5,,76.93,Not Placed
70000118,Riya Kumar,CSE,riya.kumar@gmail.com,84,Present,45.29,8.88,4,3,86.93,,Not Placed
70000815,Riya Yadav,AIML,,55,Present,78.28,,4,,28.44,,Not Placed
70000125,Arjun Patel,AIML,arjun.patel@gmail.com,73,Absent,,8.04,4,1,59.63,68.36,Placed
70000047,Anjali Das,AIML,anjali.das@gmail.com,63,Absent,,7.96,,1,,87.1,Placed
70000953,Rahul Mehta,CSIT,rahul.mehta@gmail.com,57,Absent,,5.55,,4,36.34,78.47,Placed
70000114,Neha Jain,AIML,,65,Present,46.3,7.24,0,5,,94.12,Not Placed
70000217,Riya Sharma,AIML,,96,Present,71.71,5.87,1,,48.38,99.55,Placed
70000823,Vikram Das,AIML,,76,Absent,,6,3,4,59.75,,Not Placed
70000259,Pooja Mehta,DS,,69,Absent,,8.49,3,,91.33,83.06,Placed
70001342,Karan Kumar,CSE,karan_kumar@outlook.com,93,Absent,,,,,68.46,86.31,Not Placed
70001398,Neha Singh,CSIT,neha_singh@outlook.com,54,Present,31.09,7.7,3,2,41.01,21.58,Placed
70000337,Anjali Das,IT,anjali_das@outlook.com,65,Absent,,,,3,43.75,70.53,Placed
70001197,Vikram Patel,CSE,,40,Absent,,7.38,0,,93.92,84.49,Placed
70001352,Riya Mehta,IT,riya_mehta@outlook.com,54,Present,73.66,5.13,2,5,,,Not Placed
70000276,Vikram Sharma,AIML,,70,Present,75.49,6.01,3,2,69.33,78.81,Placed
70000261,Pooja Patel,CSIT,,81,Present,40.58,5.39,0,6,37.81,56.47,Not Placed
70001901,Arjun Sharma,CSE,arjun_sharma@outlook.com,40,Present,78.83,,0,,93.87,,Placed
70001977,Amit Kumar,AIML,amit.kumar@gmail.com,,Present,86.32,6.31,,5,21.35,85.64,Not Placed
70000964,Karan Mehta,IT,,59,Absent,,7.14,0,,22.16,46.61,Placed
70000839,Arjun Kumar,DS,arjun_kumar@outlook.com,44,Absent,,,,3,75.9,34.84,Not Placed
70000020,Amit Das,CSE,amit_das@outlook.com,44,Present,65.52,9.59,0,1,,72.13,Not Placed
70000800,Riya Sharma,IT,,59,Present,63.43,6.77,1,,52.09,,Not Placed
70000251,Neha Jain,AIML,neha_jain@outlook.com,89,Absent,,7.87,1,1,57.19,95.96,Placed
70000858,Arjun Patel,AIML,arjun.patel@gmail.com,,Present,32.69,5.53,1,4,67.92,98.97,Placed
70000516,Riya Jain,IT,,87,Absent,,9.35,4,5,65.85,81.85,Placed
70001807,Amit Yadav,DS,amit_yadav@outlook.com,,Present,98.88,7.24,0,5,,60.66,Not Placed
70001647,Arjun Yadav,CSIT,arjun.yadav@gmail.com,55,Present,78.48,,3,,,,Not Placed
70000432,Anjali Kumar,DS,anjali.kumar@gmail.com,53,Absent,,7.99,1,5,90.95,,Placed
70001042,Rahul Verma,AIML,rahul.verma@gmail.com,,Absent,,9.78,,4,64.31,34.27,Placed
70001924,Neha Verma,AIML,neha_verma@outlook.com,,Absent,,6.61,0,6,39.24,48.49,Placed
70000358,Pooja Jain,IT,pooja.jain@gmail.com,54,Absent,,5.02,3,,76.89,30.25,Placed
70000311,Anjali Yadav,CSE,anjali.yadav@gmail.com,,Absent,,9.22,0,6,72.7,,Not Placed
70001368,Vikram Jain,CSIT,vikram_jain@outlook.com,50,Absent,,6.58,3,1,81.08,63.09,Not Placed
70000239,Amit Jain,CSIT,amit_jain@outlook.com,,Present,56.02,6.9,1,1,44.16,55.13,Placed
70000148,Karan Gupta,CSIT,karan_gupta@outlook.com,84,Absent,,6.36,,,88.67,32.31,Not Placed
70000005,Karan Kumar,IT,karan_kumar@outlook.com,70,Present,63.91,6.27,4,3,39.28,25.41,Not Placed
70001554,Karan Gupta,AIML,,69,Present,48.87,8.19,4,6,23.72,98.83,Not Placed
70000897,Anjali Verma,DS,anjali_verma@outlook.com,83,Absent,,8.42,2,4,,30.74,Not Placed
70001045,Karan Das,IT,karan.das@gmail.com,92,Absent,,9.55,3,,,31.66,Not Placed
70000084,Neha Mehta,IT,neha.mehta@gmail.com,57,Present,25.81,,4,4,96.04,70.43,Placed
70000162,Riya Das,CSIT,riya.das@gmail.com,53,Absent,,8.64,1,3,58.17,29.98,Placed
70000370,Anjali Das,AIML,anjali.das@gmail.com,61,Absent,,5.15,2,3,20.62,84.83,Placed
70001968,Arjun Jain,DS,arjun_jain@outlook.com,82,Absent,,8.59,0,1,39.75,,Placed
70001958,Arjun Yadav,DS,arjun_yadav@outlook.com,,Absent,,6.35,0,1,56.07,,Not Placed
70001764,Amit Jain,CSIT,,,Absent,,6.32,3,5,,97.84,Placed
70001372,Pooja Kumar,AIML,,42,Present,83.38,6.72,1,5,,49.16,Not Placed
70001057,Riya Kumar,DS,riya_kumar@outlook.com,,Present,56.36,9.54,1,3,86.07,61.95,Placed
70001631,Neha Patel,CSIT,,53,Absent,,6.26,,5,44.63,51.77,Placed
70000873,Vikram Jain,IT,,63,Absent,,5.39,,6,,92.04,Not Placed
70000280,Riya Singh,DS,,60,Present,48.68,,1,,23.43,,Placed
70001477,Anjali Mehta,AIML,,70,Absent,,,4,4,23.2,60.14,Not Placed
70000438,Amit Yadav,IT,,99,Present,38.36,6.38,4,2,75.38,69.49,Placed
70000862,Vikram Jain,IT,,57,Present,62.75,8.91,4,1,94.09,38.75,Placed
70000392,Karan Kumar,DS,karan_kumar@outlook.com,54,Present,51.04,5.34,3,,39.54,53.27,Not Placed
70000050,Sneha Kumar,IT,,52,Present,56.89,8.78,,5,75.07,94.56,Not Placed
